longitude,latitude,temp_seasonality,temp_annual_range,precip_driest_quarter,max_temp_warmest_month,annual_precipitation,precip_coldest_quarter,isothermality,elevation,sand_frac_pct,gravel_frac_pct
-69.6514400584528,-10.875489092056505,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,303,37.25,0.0
-69.6489719708345,-10.91492276962468,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,297,37.25,0.0
-69.64873833489621,-10.910566241276344,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,297,37.25,0.0
-69.64850479790202,-10.90620970689512,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,305,37.25,0.0
-69.64827135984508,-10.90185316648358,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,305,37.25,0.0
-69.64710565337919,-10.88007037406095,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,301,37.25,0.0
-69.6468728088018,-10.875713797521408,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,301,37.25,0.0
-69.64664006311372,-10.871357214969525,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,303,37.25,0.0
-69.64440416073776,-10.915148247754264,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,291,37.25,0.0
-69.64417058644594,-10.910791627282835,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,297,37.25,0.0
-69.64393711107238,-10.90643500078099,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,305,37.25,0.0
-69.64370373461026,-10.902078368251296,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,305,37.25,0.0
-69.64253833573113,-10.880295115274928,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,302,37.25,0.0
-69.64230555259367,-10.875938446632036,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,302,37.25,0.0
-69.64207286831969,-10.87158177197926,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,300,37.25,0.0
-69.63983634403596,-10.9153736693152,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,297,37.25,0.0
-69.63960283139605,-10.911016956743657,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,291,37.25,0.0
-69.63936941764862,-10.906660238144164,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,302,37.25,0.0
-69.6391361027868,-10.902303513519287,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,302,37.25,0.0
-69.63797101152184,-10.880519800104045,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,302,37.25,0.0
-69.63773828982976,-10.876163039380772,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,302,37.25,0.0
-69.63750566697534,-10.871806272650078,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,300,37.25,0.0
-69.63526852073039,-10.915599034299854,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,297,37.25,0.0
-69.63503506974791,-10.911242229651169,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,291,37.25,0.0
-69.63480171763209,-10.906885418977,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,291,37.25,0.0
-69.63456846437603,-10.90252860227993,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,302,37.25,0.0
-69.63386929769798,-10.8894581160769,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,304,37.25,0.0
-69.63363643981253,-10.885101275313836,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,304,37.25,0.0
-69.63340368075261,-10.880744428540686,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,295,37.25,0.0
-69.63317102051137,-10.876387575760004,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,295,37.25,0.0
-69.63293845908201,-10.872030716974365,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,298,37.25,0.0
-69.63000081937932,-10.90275363452559,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,296,37.25,0.0
